,F1,aps,context,expID,method,samples,system,thres,wo_length
85,0.5517241379310345,,unsupervised,14,cosine,18,bicycle,0.04040404040404041,2
86,0.823529411764706,,pathfinder,14,cosine,18,bicycle,,2
87,0.38834951456310685,0.17477010286451455,supervised,14,invite,18,bicycle,0.05528222690001034,2
88,0.0,,unsupervised,14,invite,18,bicycle,0.26262626262626265,2
89,0.0,,pathfinder,14,invite,18,bicycle,,2
90,0.6153846153846153,0.3481864070659853,supervised,15,cosine,18,drivetrain,0.6508140266182866,3
91,0.4675324675324676,,unsupervised,15,cosine,18,drivetrain,0.18611111111111112,3
92,0.5454545454545454,,pathfinder,15,cosine,18,drivetrain,,3
93,0.634920634920635,0.6266777574489031,supervised,15,invite,18,drivetrain,0.211587197818432,3
94,0.605263157894737,,unsupervised,15,invite,18,drivetrain,0.14444444444444446,3
95,0.5555555555555556,,pathfinder,15,invite,18,drivetrain,,3
96,0.04905626348318893,0.033748626807830986,supervised,16,cosine,18,aircraft,0.0,3
97,0.04007581911724885,,unsupervised,16,cosine,18,aircraft,0.3333357037205598,3
98,0.05365853658536585,,pathfinder,16,cosine,18,aircraft,,3
99,0.05096040768326147,0.03708241571225756,supervised,16,invite,18,aircraft,0.0037414920961444114,3
100,0.01904761904761905,,unsupervised,16,invite,18,aircraft,0.022513937876891568,3
101,0.0213903743315508,,pathfinder,16,invite,18,aircraft,,3
102,0.6666666666666667,0.4054694814988933,supervised,17,cosine,18,bicycle,0.5581395685059352,3
103,0.47619047619047616,,unsupervised,17,cosine,18,bicycle,0.06060606060606061,3
104,0.6666666666666666,,pathfinder,17,cosine,18,bicycle,,3
105,0.8333333333333334,0.8580735889057525,supervised,17,invite,18,bicycle,0.04951590894781898,3
106,0.8,,unsupervised,17,invite,18,bicycle,0.0606060606060606,3
107,0.6666666666666666,,pathfinder,17,invite,18,bicycle,,3
108,0.5333333333333333,0.3099662155543057,supervised,18,cosine,18,drivetrain,0.6929023281557339,4
109,0.3434343434343435,,unsupervised,18,cosine,18,drivetrain,0.06111111111111111,4
110,0.4848484848484848,,pathfinder,18,cosine,18,drivetrain,,4
111,0.7407407407407408,0.7647610214730479,supervised,18,invite,18,drivetrain,0.14233441420981957,4
112,0.7096774193548386,,unsupervised,18,invite,18,drivetrain,0.05277777777777778,4
113,0.7777777777777778,,pathfinder,18,invite,18,drivetrain,,4
114,0.0700669757856775,0.03904021635889107,supervised,19,cosine,18,aircraft,0.25,4
115,0.06878582595101615,,unsupervised,19,cosine,18,aircraft,0.25,4
116,0.06132075471698112,,pathfinder,19,cosine,18,aircraft,,4
117,0.05197839100598628,0.04830902644219595,supervised,19,invite,18,aircraft,0.004743641033863968,4
118,0.038781163434903045,,unsupervised,19,invite,18,aircraft,0.017059676868813288,4
119,0.05614973262032085,,pathfinder,19,invite,18,aircraft,,4
120,0.6666666666666667,0.42599007201948375,supervised,20,cosine,18,bicycle,0.7915512859421803,4
121,0.5263157894736842,,unsupervised,20,cosine,18,bicycle,0.6464646464646465,4
122,0.8888888888888888,,pathfinder,20,cosine,18,bicycle,,4
123,0.9473684210526316,0.9347723704866563,supervised,20,invite,18,bicycle,0.12525554345379572,4
124,0.8372093023255814,,unsupervised,20,invite,18,bicycle,0.0404040404040404,4
125,0.8888888888888888,,pathfinder,20,invite,18,bicycle,,4
126,0.5045045045045046,0.3285187612986854,supervised,21,cosine,18,drivetrain,0.8717372244531129,5
127,0.35443037974683544,,unsupervised,21,cosine,18,drivetrain,0.16666666666666666,5
128,0.4444444444444444,,pathfinder,21,cosine,18,drivetrain,,5
129,0.7234042553191489,0.7313305077861453,supervised,21,invite,18,drivetrain,0.08107523317793827,5
130,0.6666666666666665,,unsupervised,21,invite,18,drivetrain,0.030555555555555558,5
131,0.7222222222222222,,pathfinder,21,invite,18,drivetrain,,5
132,0.08329297820823245,0.040348780978395865,supervised,22,cosine,18,aircraft,0.19999999999999998,5
133,0.07703703703703704,,unsupervised,22,cosine,18,aircraft,0.20000142223233588,5
134,0.06818181818181818,,pathfinder,22,cosine,18,aircraft,,5
135,0.05512929809605002,0.049798659649868404,supervised,22,invite,18,aircraft,0.004810857181586752,5
